Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
The Boys,2019,18+,8.7,95,"Action & Adventure,Comedy","A group of vigilantes known informally as ?The Boys? set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.The Boys featuring Karl Urban and Jack Quaid has one or more episodes streaming with subscription on Prime Video, and available for purchase on VUDU. It's an action & adventure and comedy show with 12 episodes over 2 seasons. The Boys has a new episode airing on September 17th, 2020 (PDT). It has a high IMDb audience rating of 8.7 (170,705 votes) and was very well received by critics.",2Seasons,Prime Video
The Expanse,2015,16+,8.5,89,"Drama,Action & Adventure","A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.The Expanse featuring Steven Strait and Cas Anvar has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and drama show with 46 episodes over 4 seasons. The Expanse is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (95,168 votes) and was very well received by critics.",4 Seasons,Prime Video
Fleabag,2016,18+,8.7,88,"Comedy,Drama","Fleabag is thrown roughly up against the walls of contemporary London, sleeping with anyone who dares to stand too close, squeezing money from wherever she  can, rejecting anyone who tries to help her, and keeping up her bravado throughout.Fleabag featuring Phoebe Waller-Bridge and Sian Clifford has one or more episodes streaming with subscription on Prime Video, and available for purchase on iTunes. It's a comedy and drama show with 12 episodes over 2 seasons. Fleabag is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (84,330 votes) and was very well received by critics.",2Seasons,Prime Video
The Americans,2013,18+,8.4,87,"Drama,Crime","Set during the Cold War period in the 1980s, The Americans is the story of Elizabeth and Philip Jennings, two Soviet KGB officers posing as an American married couple in the suburbs of Washington D.C. and their neighbor, Stan Beeman, an FBI Counterintelligence agent.The Americans featuring Keri Russell and Matthew Rhys has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an action & adventure and crime show with 75 episodes over 6 seasons. The Americans is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (80,394 votes) and was very well received by critics.",6Seasons,Prime Video
The Marvelous Mrs. Maisel,2017,18+,8.7,87,"Comedy,Stand-up & Talk","It?s 1958 Manhattan and Miriam ?Midge? Maisel has everything she?s ever wanted - the perfect husband, kids, and Upper West Side apartment. But when her life suddenly takes a turn and Midge must start over, she discovers a previously unknown talent - one that will take her all the way from the comedy clubs of Greenwich Village to a spot on Johnny Carson?s couch.The Marvelous Mrs. Maisel featuring Rachel Brosnahan and Alex Borstein has one or more episodes streaming with subscription on Prime Video. It's a comedy and drama show with 26 episodes over 3 seasons. The Marvelous Mrs. Maisel is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (72,473 votes) and was very well received by critics.",3Seasons,Prime Video
Chuck,2007,16+,8.2,86,"Action & Adventure,Comedy","When Buy More computer geek Chuck Bartowski unwittingly downloads a database of government information and deadly fighting skills into his head, he becomes the CIA's most vital secret. This sets Chuck on a path to become a full-fledged spy.Chuck featuring Zachary Levi and Yvonne Strahovski has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an action & adventure and comedy show with 91 episodes over 5 seasons. Chuck is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (125,627 votes) and was very well received by critics.",5Seasons,Prime Video
Bosch,2014,18+,8.4,85,"Crime,Drama","Based on Michael Connelly's best-selling novels, these are the stories of relentless LAPD homicide Detective Harry Bosch who pursues justice at all costs. But behind his tireless momentum is a man who is haunted by his past and struggles to remain loyal to his personal code: ?Everybody counts or nobody counts.?Bosch featuring Titus Welliver and Jamie Hector has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 60 episodes over 6 seasons. Bosch is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (43,373 votes) and was very well received by critics.",6 Seasons,Prime Video
The Man in the High Castle,2015,7+,8,84,"Drama,Science-Fiction","Explore what it would be like if the Allied Powers had lost WWII, and Japan and Germany ruled the United States. Based on Philip K. Dick's award-winning novel.The Man in the High Castle featuring Alexa Davalos and Joel de la Fuente has one or more episodes streaming with subscription on Prime Video. It's a drama and fantasy show with 40 episodes over 4 seasons. The Man in the High Castle is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (82,303 votes) and was well received by critics.",4Seasons,Prime Video
Teen Wolf,2011,16+,7.6,84,"Horror,Comedy","Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.Teen Wolf featuring Tyler Posey and Dylan O'Brien has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 100 episodes over 6 seasons. Teen Wolf is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (122,603 votes) and was well received by critics.",6Seasons,Prime Video
Good Omens,2019,18+,8.1,84,"Comedy,Drama","Aziraphale, an angel, and Crowley, a demon, join forces to find the Antichrist and stop Armageddon.Good Omens featuring Michael Sheen and David Tennant has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, and available for purchase on YouTube. It's a comedy and drama show with 6 episodes over 1 season. Good Omens is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (53,820 votes) and was well received by critics.",1Season,Prime Video
